pesticide_name,active_ingredient,crop,target_pest_or_disease,pre_harvest_interval_days,safe_dosage,precautions
Mancozeb 75% WP,mancozeb,,"Late blight, early blight, downy mildew, leaf spots",7,2-2.5 g/litre water,"Wear gloves and mask; do not spray against the wind; keep livestock away for 24 hours."
Mancozeb 75% WP,mancozeb,potato,"Late blight, early blight",3,2-2.5 g/litre water,"Wear gloves and mask; avoid spray drift onto food or water."
Mancozeb 75% WP,mancozeb,tomato,"Early blight, late blight",3,2-2.5 g/litre water,"Wear gloves and mask; wash hands and face after spraying."
Copper Oxychloride 50% WP,copper oxychloride,,"Bacterial blight, downy mildew, anthracnose, citrus canker",7,3 g/litre water,"Can stain and be phytotoxic in cool wet weather; do not mix with other chemicals unnecessarily."
Copper Hydroxide 53.8% DF,copper hydroxide,,"Bacterial and fungal leaf diseases",5,2 g/litre water,"Avoid application during flowering; wear protective clothing."
Carbendazim 50% WP,carbendazim,,"Wilt, anthracnose, powdery mildew, sheath blight",10,1 g/litre water,"Do not use continuously; alternate with a different mode of action to avoid resistance."
Carbendazim 12% + Mancozeb 63% WP,carbendazim + mancozeb,,"Blights, leaf spots, downy and powdery mildew",10,2 g/litre water,"Wear gloves and mask; do not eat, drink or smoke while spraying."
Thiophanate-methyl 70% WP,thiophanate-methyl,,"Powdery mildew, scab, anthracnose",7,1 g/litre water,"Toxic to aquatic life; do not contaminate ponds or canals."
Chlorothalonil 75% WP,chlorothalonil,,"Early blight, late blight, fruit rot",7,2 g/litre water,"Skin and eye irritant; wear goggles and gloves."
Metalaxyl 8% + Mancozeb 64% WP,metalaxyl + mancozeb,,"Late blight, downy mildew",10,2.5 g/litre water,"Use preventively or at first sign; limited curative window."
Metalaxyl-M 4% + Mancozeb 64% WP,metalaxyl-m + mancozeb,grape,Downy mildew,30,2.5 g/litre water,"Observe the long pre-harvest interval strictly for table and wine grapes."
Cymoxanil 8% + Mancozeb 64% WP,cymoxanil + mancozeb,,"Late blight, downy mildew",5,2 g/litre water,"Apply at first appearance of disease; repeat as per label."
Dimethomorph 50% WP,dimethomorph,,"Downy mildew, late blight",5,1 g/litre water,"Rotate with non-CAA fungicides to manage resistance."
